Node,Degree
6.201.62.32,1
183.7.190.179,1
156.179.93.15,1
122.237.47.8,1
84.56.120.189,1
168.19.48.227,1
6.15.46.182,1
20.79.145.101,1
90.149.57.59,1
131.22.254.220,1
162.90.72.92,1
59.140.144.62,1
194.166.45.88,1
212.253.164.191,1
17.62.29.174,1
170.252.196.163,1
122.126.217.52,1
107.230.81.225,1
40.251.72.255,1
52.7.38.83,1
222.221.33.153,1
186.78.173.116,1
131.169.236.53,1
124.234.171.49,1
169.38.104.61,1
84.34.195.12,1
145.191.183.18,1
61.189.101.6,1
171.179.184.111,1
220.84.129.101,1
54.121.189.29,1
109.143.38.209,1
80.23.231.188,1
212.198.227.35,1
13.68.91.5,1
162.53.253.196,1
160.198.87.152,1
161.103.195.137,1
51.172.212.120,1
169.34.162.230,1
26.24.253.146,1
24.41.84.96,1
139.198.241.166,1
205.230.133.75,1
106.133.118.105,1
201.90.196.7,1
62.132.137.49,1
11.98.159.196,1
115.60.86.140,1
200.115.29.51,1
86.139.64.110,1
99.27.104.12,1
76.73.117.91,1
170.35.191.229,1
186.51.0.183,1
124.49.251.39,1
6.109.194.16,1
137.146.249.82,1
16.8.182.134,1
95.199.218.16,1
175.88.31.3,1
78.66.75.116,1
14.111.213.104,1
90.242.78.226,1
199.31.5.137,1
53.56.27.198,1
120.172.169.71,1
47.146.63.93,1
108.81.174.191,1
98.215.64.135,1
29.135.201.205,1
221.221.134.171,1
206.95.20.253,1
95.28.24.60,1
52.83.49.239,1
116.242.149.114,1
197.59.221.221,1
147.249.170.177,1
88.188.182.204,1
12.150.105.214,1
122.195.144.247,1
108.14.141.47,1
199.218.68.12,1
107.130.74.191,1
186.181.55.141,1
88.11.188.250,1
66.53.159.25,1
133.71.25.84,1
12.120.118.41,1
17.29.68.101,1
20.162.29.248,1
106.152.19.217,1
78.226.143.40,1
43.143.16.86,1
57.16.71.161,1
49.21.247.145,1
31.159.170.218,1
99.114.62.47,1
153.255.118.141,1
215.177.233.202,1
202.19.22.204,1
202.30.71.118,1
201.42.20.225,1
218.21.217.218,1
22.52.60.6,1
54.90.207.156,1
81.63.102.177,1
35.31.48.144,1
5.9.252.5,1
122.89.8.55,1
70.39.7.179,1
56.209.184.105,1
3.74.233.60,1
92.119.40.202,1
157.48.240.41,1
172.46.157.69,1
163.160.108.182,1
20.161.101.135,1
219.115.79.100,1
108.161.82.102,1
56.160.97.250,1
195.99.103.54,1
48.184.91.183,1
64.186.113.234,1
155.246.255.207,1
160.113.97.19,1
65.177.32.52,1
52.125.182.188,1
42.242.92.33,1
184.31.62.32,1
158.255.232.22,1
216.31.29.59,1
22.252.185.137,1
22.136.1.49,1
73.143.85.168,1
28.234.146.83,1
161.72.251.208,1
122.51.101.155,1
192.226.95.121,1
117.134.5.208,1
60.136.162.151,1
116.87.171.175,1
15.251.62.10,1
141.157.90.82,1
202.11.141.145,1
39.243.27.161,1
21.204.80.111,1
166.112.83.106,1
43.123.221.87,1
7.52.85.122,1
73.141.141.16,1
115.237.124.58,1
128.60.244.25,1
185.161.215.251,1
43.58.49.240,1
168.170.166.0,1
123.62.63.173,1
39.43.56.159,1
85.99.96.153,1
164.21.30.159,1
202.94.236.159,1
199.2.90.142,1
205.29.233.164,1
60.20.108.52,1
146.91.179.41,1
79.71.69.10,1
218.35.115.249,1
21.98.150.111,1
107.6.133.45,1
16.179.250.143,1
152.147.100.97,1
68.67.210.174,1
13.187.74.234,1
173.157.55.33,1
102.245.0.156,1
154.223.61.104,1
213.121.30.87,1
68.138.157.220,1
120.103.213.252,1
71.145.123.250,1
51.97.120.22,1
119.205.113.20,1
213.44.13.67,1
63.137.101.136,1
82.166.158.78,1
1.227.78.78,1
16.6.157.166,1
61.117.133.168,1
194.149.186.231,1
81.116.169.81,1
100.246.139.245,1
32.200.204.179,1
150.222.191.107,1
155.130.165.253,1
200.170.75.164,1
143.34.5.224,1
61.70.129.101,1
168.123.160.104,1
103.58.219.191,1
87.194.220.146,1
178.242.135.8,1
170.125.93.184,1
107.143.116.223,1
190.194.43.175,1
202.93.1.145,1
30.100.17.89,1
3.104.11.98,1
92.243.253.178,1
118.92.51.99,1
204.247.66.81,1
196.74.160.27,1
151.177.15.119,1
25.208.75.98,1
115.187.100.129,1
191.101.91.185,1
61.38.166.226,1
54.244.234.75,1
143.43.16.42,1
10.252.212.222,1
24.22.27.86,1
214.131.7.25,1
154.197.158.24,1
142.113.106.160,1
79.236.107.245,1
174.255.158.43,1
68.65.24.201,1
55.246.233.228,1
202.124.73.113,1
34.33.69.170,1
200.6.124.125,1
28.15.143.58,1
6.20.28.177,1
4.182.63.32,1
193.11.235.115,1
46.191.9.64,1
113.68.57.9,1
166.220.193.102,1
199.161.90.124,1
178.53.80.143,1
165.175.230.159,1
217.225.195.141,1
159.150.207.49,1
38.151.96.49,1
40.138.132.48,1
52.115.255.55,1
61.151.175.178,1
215.33.182.162,1
179.98.199.124,1
168.204.43.159,1
179.4.92.226,1
131.205.96.170,1
55.161.3.88,1
79.69.43.134,1
216.121.38.146,1
220.183.92.10,1
145.109.63.170,1
70.139.37.132,1
204.52.30.235,1
213.200.142.86,1
117.204.180.183,1
47.173.124.199,1
44.251.112.237,1
161.209.89.172,1
184.72.17.68,1
121.90.199.92,1
37.76.134.174,1
138.175.70.11,1
172.8.11.197,1
125.36.66.122,1
119.182.73.219,1
18.174.87.88,1
64.242.202.192,1
125.226.74.29,1
70.32.78.247,1
204.146.61.21,1
96.225.86.130,1
60.253.112.223,1
126.183.193.152,1
39.48.47.26,1
53.244.27.213,1
146.100.125.110,1
61.68.43.0,1
47.153.59.18,1
93.184.20.186,1
25.134.146.165,1
94.224.180.137,1
18.55.247.79,1
9.222.25.216,1
158.111.59.10,1
1.92.35.43,1
136.52.212.10,1
177.96.94.83,1
110.83.126.166,1
68.87.231.142,1
61.25.139.18,1
107.251.154.143,1
79.255.150.247,1
174.220.187.211,1
55.42.16.252,1
25.159.251.101,1
188.205.2.89,1
22.124.100.8,1
164.26.236.156,1
195.43.214.110,1
63.177.142.111,1
124.56.231.173,1
92.214.189.143,1
204.124.32.92,1
92.201.75.101,1
70.251.224.144,1
177.35.208.178,1
74.190.186.165,1
123.171.174.30,1
213.192.115.123,1
47.229.98.197,1
83.197.40.242,1
5.89.193.16,1
43.38.209.207,1
75.116.44.200,1
53.77.206.116,1
198.125.70.30,1
90.83.38.40,1
27.138.154.147,1
138.245.1.126,1
123.23.102.226,1
112.50.209.131,1
99.93.133.112,1
137.10.70.27,1
138.203.223.177,1
86.9.152.151,1
125.0.16.67,1
73.233.145.125,1
69.239.237.186,1
207.225.236.182,1
77.148.20.237,1
150.237.223.140,1
195.137.227.149,1
193.214.19.216,1
209.220.40.53,1
215.197.48.15,1
14.53.7.132,1
213.23.145.8,1
44.145.26.103,1
111.40.37.165,1
167.219.53.54,1
193.77.35.11,1
100.168.158.174,1
63.79.253.143,1
214.206.111.58,1
74.167.77.78,1
74.183.158.61,1
79.107.8.26,1
99.146.74.139,1
196.122.96.136,1
19.189.239.35,1
117.110.231.44,1
90.8.146.81,1
206.221.72.98,1
94.30.10.6,1
48.98.150.220,1
76.255.132.231,1
192.65.50.115,1
55.189.227.250,1
128.230.247.236,1
109.4.114.194,1
12.114.2.105,1
217.89.20.167,1
160.71.250.172,1
115.25.11.164,1
176.125.59.234,1
91.137.19.161,1
195.183.135.228,1
93.30.172.16,1
181.129.77.232,1
157.76.49.37,1
216.199.186.52,1
81.39.87.144,1
10.243.172.33,1
60.188.62.213,1
104.80.69.254,1
194.121.196.99,1
29.116.213.136,1
117.44.71.138,1
177.136.105.210,1
113.23.200.213,1
144.34.189.244,1
186.194.39.144,1
220.233.173.196,1
28.41.109.34,1
87.3.74.43,1
162.90.167.153,1
50.41.9.154,1
81.119.235.163,1
217.13.179.70,1
60.16.220.128,1
186.39.91.106,1
183.117.225.138,1
87.198.138.153,1
78.209.4.102,1
11.72.38.237,1
88.74.9.103,1
107.64.69.113,1
16.170.47.38,1
186.230.166.74,1
56.120.110.123,1
72.11.149.251,1
47.223.86.248,1
133.51.19.110,1
184.160.242.224,1
87.96.0.51,1
57.85.9.81,1
133.180.94.49,1
27.177.143.204,1
67.230.6.222,1
35.221.94.68,1
172.245.162.47,1
100.183.85.185,1
154.110.114.50,1
53.68.238.80,1
188.206.7.200,1
214.159.127.39,1
212.133.253.142,1
205.222.219.149,1
178.192.70.125,1
174.105.38.108,1
146.97.145.186,1
211.231.234.110,1
195.54.133.146,1
150.210.136.213,1
154.48.144.70,1
163.117.134.161,1
45.55.238.33,1
65.15.30.117,1
209.125.229.14,1
201.163.242.229,1
76.144.73.122,1
167.184.76.227,1
21.43.23.1,1
35.21.170.149,1
195.150.165.7,1
146.170.108.246,1
13.223.196.90,1
93.57.240.43,1
18.29.92.139,1
136.2.219.196,1
115.40.48.16,1
46.233.7.44,1
128.22.210.142,1
203.75.194.92,1
90.6.253.145,1
146.185.6.7,1
185.43.184.220,1
31.35.147.167,1
146.182.133.157,1
9.23.109.83,1
36.176.99.99,1
41.43.4.127,1
222.235.220.212,1
212.29.162.153,1
2.10.182.61,1
133.255.144.71,1
167.137.111.38,1
59.80.73.175,1
50.50.112.75,1
159.182.103.206,1
64.169.131.193,1
88.107.136.119,1
81.98.73.105,1
113.37.217.74,1
137.40.200.115,1
74.203.250.34,1
178.211.185.229,1
96.12.194.206,1
174.94.18.153,1
207.113.231.5,1
185.186.180.227,1
137.1.67.197,1
126.69.68.226,1
217.235.63.217,1
187.207.34.204,1
61.202.166.76,1
143.191.217.84,1
35.103.123.244,1
156.248.221.131,1
97.168.79.155,1
223.200.218.182,1
143.195.19.144,1
70.36.70.238,1
198.67.3.165,1
81.171.47.190,1
187.19.150.204,1
112.16.135.8,1
159.113.35.94,1
192.239.152.192,1
53.60.162.109,1
79.206.139.5,1
138.19.28.45,1
152.128.149.159,1
18.1.201.10,1
134.239.56.254,1
209.77.126.251,1
144.74.237.88,1
103.86.221.30,1
86.171.143.187,1
76.128.41.115,1
120.19.229.252,1
69.84.152.177,1
75.45.7.57,1
184.32.115.234,1
194.1.59.92,1
86.193.223.236,1
185.196.218.249,1
180.170.234.158,1
160.99.5.70,1
83.84.177.211,1
166.155.67.202,1
150.201.141.114,1
39.100.196.153,1
184.138.126.188,1
78.55.223.136,1
62.16.200.18,1
41.237.237.175,1
60.110.99.229,1
96.196.44.175,1
176.80.253.124,1
160.150.200.84,1
43.9.76.197,1
212.209.195.110,1
50.82.155.21,1
165.180.137.50,1
161.89.163.202,1
5.67.8.121,1
133.111.25.176,1
31.22.104.115,1
187.13.79.72,1
138.81.53.184,1
192.117.115.162,1
175.136.196.128,1
134.183.88.72,1
78.100.164.28,1
61.168.78.100,1
81.200.217.30,1
66.76.12.4,1
122.190.180.89,1
139.208.63.92,1
143.25.115.93,1
122.252.160.100,1
209.22.108.106,1
42.4.79.114,1
146.251.167.172,1
96.64.169.221,1
68.78.235.54,1
221.105.110.182,1
9.69.228.159,1
141.144.174.13,1
146.70.222.46,1
42.162.20.31,1
207.142.158.155,1
161.37.255.221,1
89.119.250.129,1
173.45.127.173,1
1.118.185.188,1
87.141.60.238,1
140.37.245.109,1
78.192.187.42,1
94.97.0.73,1
220.207.161.140,1
209.88.250.142,1
17.216.124.30,1
123.70.1.31,1
70.122.30.214,1
156.226.13.214,1
55.141.196.41,1
70.247.214.218,1
122.33.158.214,1
35.171.52.101,1
19.130.7.14,1
89.233.139.186,1
158.110.216.173,1
54.240.8.181,1
187.168.58.103,1
145.85.221.66,1
78.171.136.228,1
62.8.27.225,1
59.65.94.154,1
150.152.147.26,1
202.22.85.152,1
21.144.136.80,1
16.170.155.146,1
45.146.231.17,1
12.25.45.6,1
51.129.108.114,1
59.2.153.134,1
92.228.98.209,1
56.112.42.215,1
